Informazioni cronologiche,Hai vinto un buono da 30€. Come lo spendi?,Come ti comporti sui social? ,È ora di cena,Pregando di finire in zona gialla,"Quando ti trovi in una situazione nuova, circondat* da persone che vedi per la prima volta",Ti arrabbi soprattutto quando,Cosa ti preoccupa di più del futuro post-COVID?,Che pizza preferisci?,Sei tesserat* o fai vita associativa?,"Misuriamo l'umore, come ti senti ora?",Pensi che questo stato d'animo si prolungherà nel tempo?,"Secondo te, Bolzano ha bisogno di",Come vedi Bolzano?,"Cosa pensi se dico ""Intelligenza Artificiale""?",Quante ore dormi di solito la notte?,Mappa di Bolzano [Dov'è interessante?],Mappa di Bolzano [Dov'è rilassante?],Mappa di Bolzano [Dove ti incontri con gli amici?],Mappa di Bolzano [Dove non andresti?],Commento,Emozioni [Gioia ],Emozioni [Fiducia],Emozioni [Eccitazione],Emozioni [Ansia],Emozioni [Paura],Emozioni [Rabbia],Emozioni [Disgusto],Emozioni [Sorpresa],Emozioni [Tristezza],Rieccoti la mappa! [Rosso (A)],Rieccoti la mappa! [Arancione (B)],Rieccoti la mappa! [Giallo (C)],Rieccoti la mappa! [Verde (D)],Rieccoti la mappa! [Azzurro (E)],Rieccoti la mappa! [Blu (F)],Rieccoti la mappa! [Viola (G)],Luoghi/emozioni,Genere,Età,Luogo di nascita,"Se alla precedente domanda hai riposto Estero (EU) o Estero (no EU), specifica il paese qui sotto",Luogo di residenza,Livello di istruzione,Lingua madre,Lingue parlate,Stato civile,Con quante persone vivi?,Occupazione,Quanto lavori/studi?
11/02/2021 13.13.55,"Libri, giornali, riviste",6,Adoro cucinare,Mi gusto uno spettacolo dal vivo,Cerco di inquadrare le persone prima di espormi,"Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, Penso che tutte le persone al potere vogliono fare solo i loro interessi",Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Margherita,"Mi iscriverei, ma la verità è che non mi sento rappresentat*",Male,Si,Eliminare lo spaccio e la delinquenza,"Sempre divisa i 
I suoi abitanti autoctoni molto chiusi società formata come clan chiusi. C'è  della diffidenza verso il forestiero e forestiero è  chi non parla lo stesso linguaggio ",È una questione delicata che dobbiamo gestire,4,1,2,1,4,,"3, Non so","3, Non so",3,"3, 4, Non so","3, Non so","1, 3, 4","3, Non so","3, Non so","3, 4",4,"4, 5","2, 3","2, 4","1, 4",3,4,Difficile spiegare esaurientemente le motivazioni emotive che suscitano varie zone,Donna,60+,Italia,,Bolzano,Collegio di istruzione superiore professionale o tecnica,Madre austriaca padre siculo,"Italiano, Tedesco, Inglese",Vedov*,Da sol*,Casaling*,Non lavoro e non studio
11/02/2021 14.37.55,Articoli sportivi,5,Adoro cucinare,Mi gusto uno spettacolo dal vivo,Cerco di inquadrare le persone prima di espormi,"Vedo una persona che getta una lattina a terra, Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice",Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Vegetariana,"Certo! Sostengo associazioni, organizzazioni, partiti o simili","Così, così",No,"Sistemare la viabilità, Eliminare lo spaccio e la delinquenza",Vivace,Può essere una valida alleata degli umani,8,"1, 2","1, 2, 3","1, 2, 3",5,,"1, 2, 3","2, 3",Non so,5,1,Non so,Non so,Non so,5,"1, 2","2, 3","4, 5","1, 2, 3","1, 2, 3",4,"4, 5",,Donna,51-60,Bolzano,,Bolzano,"Laurea, Università",Italiano,"Italiano, Tedesco, Inglese",Sposat*,Con partner e figl*,Lavorator*,Tempo pieno
11/02/2021 16.42.19,"Libri, giornali, riviste",6,Apro il frigo e improvviso,"Rimango fedele all'appartamento, il mio habitat del cuore",Aspetto che mi coinvolgano le altre persone,"Vedo una persona che getta una lattina a terra, Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice","La re-impennata degli agenti inquinanti, Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta",Margherita,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Chissà,"Sistemare la viabilità, Eliminare lo spaccio e la delinquenza",Altezzosa ,Può essere una valida alleata degli umani,6,"1, 2","1, 2","1, 2","3, 4",Centro e Piani Rencio sarebbero da tenere separate. Le mie risposte valgono per il Centro e non per i Piani Rencio,"1, 2",2,Non so,3,3,Non so,Non so,Non so,Non so,3,4,2,2,5,Non so,5,,Donna,41-50,Bolzano,,Bolzano,Istruzione secondaria/completa,Italiano,"Italiano, Tedesco, Inglese",Sposat*,Con partner,Lavorator*,Tempo pieno
11/02/2021 21.32.34,Articoli per la casa,7,Provo sempre nuovi take-away/delivery,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Cerco di inquadrare le persone prima di espormi,"Vedo una persona che getta una lattina a terra, Scopro che un conoscente non paga le tasse",Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Margherita,Non sono iscritt* a nulla perché in fondo non mi interessa,Male,Chissà,"Sistemare la viabilità, Eliminare lo spaccio e la delinquenza",Sonnacchiosa,Può essere una valida alleata degli umani,8,1,2,1,Non so,,Non so,"1, Non so",Non so,5,4,4,4,4,4,5,3,4,3,4,3,1,,Uomo,51-60,Italia,,Laives,"Master, Università",Italiano,"Italiano, Tedesco, Inglese",Convivente (anche non formalizzato),Da sol*,Lavorator*,Tempo pieno
12/02/2021 7.38.57,Articoli per la casa,6,Adoro cucinare,Imploro un aperitivo con gli amici,Cerco di inquadrare le persone prima di espormi,Vedo una persona che getta una lattina a terra,La situazione delle persone a me vicine,Capricciosa,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Si,Eliminare lo spaccio e la delinquenza,Peggiorata.... ,Può essere una valida alleata degli umani,7,1,2,3,4,,1,2,1,5,"1, 4",4,4,1,4,4,5,3,2,2,2,4,,Donna,60+,Bolzano,,Bolzano,Collegio di istruzione superiore professionale o tecnica,Italiano,Italiano,Sposat*,Con partner,Lavorator*,Part-time
12/02/2021 8.04.08,"Libri, giornali, riviste",3,Per fortuna vivo con altre persone che se ne occupano,"Rimango fedele all'appartamento, il mio habitat del cuore",Se potessi mi smaterializzerei,"Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, Vedo un ciclista pedalare fuori dalla pista ciclabile nonostante ce ne sia una, I vicini del piano di sopra fanno rumore incessante per tutta la sera","La situazione delle persone a me vicine, Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta",Margherita,"Certo! Sostengo associazioni, organizzazioni, partiti o simili","Così, così",Si,Sistemare la viabilità,Grigia,Una cosa entusiasmante,6,"2, 5",2,Non so,1,,2,5,5,1,Non so,Non so,1,5,4,1,3,5,2,4,Non so,Non so,,Uomo,41-50,Bolzano,,Bolzano,Laurea specialistica,Italiano,Italiano,Convivente (anche non formalizzato),Con partner,Lavorator*,Tempo pieno
12/02/2021 8.31.06,Articoli sportivi,4,Adoro cucinare,"Rimango fedele all'appartamento, il mio habitat del cuore",Cerco di inquadrare le persone prima di espormi,"Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, Vedo un ciclista pedalare fuori dalla pista ciclabile nonostante ce ne sia una",Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Salsiccia e friarielli,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Si,"Sistemare la viabilità, Eliminare lo spaccio e la delinquenza",Bella,"Non ho idea di cosa sia, ma sono curios*",7,5,2,Non so,1,Oltrisarco ē un piccolo paese più che un quartiere,5,2,Non so,1,Non so,Non so,Non so,1,3,5,4,2,5,4,4,Non so,,Uomo,51-60,Bolzano,,Bolzano,Istruzione secondaria/incompleta,Italiano,"Italiano, Tedesco",Separat*/Divorziat*,Da sol*,Lavorator*,Tempo pieno
12/02/2021 10.00.37,Articoli per la casa,7,Adoro cucinare,Imploro un aperitivo con gli amici,"Rompo il ghiaccio, vado a ruota libera","Vedo una persona che getta una lattina a terra, Scopro che un conoscente non paga le tasse","La situazione delle persone a me vicine, Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta",Margherita,"Certo! Sostengo associazioni, organizzazioni, partiti o simili","Così, così",Chissà,"Sistemare la viabilità, Eliminare lo spaccio e la delinquenza",,Può essere una valida alleata degli umani,6,"1, 2",2,1,"3, 4, 5",,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,,Uomo,41-50,Bolzano,,Bolzano,Laurea specialistica,Italiano,"Italiano, Tedesco, Inglese, Spagnolo",Convivente (anche non formalizzato),Con partner,Lavorator*,Tempo pieno
12/02/2021 11.21.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/02/2021 11.23.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/02/2021 11.27.52,"Libri, giornali, riviste",7,Apro il frigo e improvviso,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Cerco di inquadrare le persone prima di espormi,"Vedo una persona che getta una lattina a terra, Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice",La re-impennata degli agenti inquinanti,Salsiccia e friarielli,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Chissà,"Riqualificare/rimuovere i monumenti di epoca fascista, Piantare alberi",,È una questione delicata che dobbiamo gestire,8,Non so,Non so,Non so,Non so,,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,,Uomo,31-40,Bolzano,,Bolzano,Istruzione secondaria/completa,Italiano,"Italiano, Tedesco, Inglese",Single,Con un coinquilin*,Preferisco non rispondere,Preferisco non rispondere
12/02/2021 11.28.23,"Libri, giornali, riviste",7,Apro il frigo e improvviso,Mi gusto uno spettacolo dal vivo,"Aspetto che qualcun* parli per interagire, ma non vedo l'ora che qualcun* avvii la conversazione",Vedo una persona che getta una lattina a terra,Essere incapace di staccarmi da computer e smartphone,Margherita,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Si,Sistemare la viabilità,Distaccata,Può essere una valida alleata degli umani,7,1,1,1,Non so,,Non so,1,Non so,Non so,Non so,Non so,Non so,Non so,Non so,5,3,4,1,1,2,2,,Donna,60+,Italia,,Bolzano,"Laurea, Università",Italiano,"Italiano, Francese",Separat*/Divorziat*,Da sol*,Pensionat*,Part-time
12/02/2021 11.30.58,"Libri, giornali, riviste",5,Apro il frigo e improvviso,Mi gusto uno spettacolo dal vivo,Aspetto che mi coinvolgano le altre persone,"Vedo un ciclista pedalare fuori dalla pista ciclabile nonostante ce ne sia una, I vicini del piano di sopra fanno rumore incessante per tutta la sera",Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Salsiccia e friarielli,"Mi iscriverei, ma la verità è che non mi sento rappresentat*",Bene,Si,"Sistemare la viabilità, Eliminare lo spaccio e la delinquenza",Nordica,È una questione delicata che dobbiamo gestire,6,"1, 2","1, 2","1, 2","3, 4",,1,2,Non so,Non so,Non so,Non so,Non so,Non so,4,2,4,1,5,3,Non so,Non so,,Donna,21-30,Bolzano,,Bolzano,"Laurea, Università",Italiano,"Italiano, Tedesco, Inglese",Single,Con un coinquilin*,Lavorator*,Tempo pieno
12/02/2021 11.35.32,"Libri, giornali, riviste",6,Apro il frigo e improvviso,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,"Aspetto che qualcun* parli per interagire, ma non vedo l'ora che qualcun* avvii la conversazione",Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice,La re-impennata degli agenti inquinanti,Vegetariana,"Certo! Sostengo associazioni, organizzazioni, partiti o simili","Così, così",No,Piantare alberi,CHIUSA,Scenari tipo Terminator,7,2,3,3,1,,3,3,Non so,1,1,4,Non so,Non so,4,3,5,3,3,2,5,5,,Donna,51-60,Bolzano,,Bolzano,Collegio di istruzione superiore professionale o tecnica,Italiano,"Italiano, Tedesco",Sposat*,Con partner,Lavorator*,Part-time
12/02/2021 11.37.27,Articoli sportivi,1,Per fortuna vivo con altre persone che se ne occupano,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,"Rompo il ghiaccio, vado a ruota libera",Scopro che un conoscente non paga le tasse,La situazione delle persone a me vicine,Salsiccia e friarielli,"Mi iscriverei, ma la verità è che non mi sento rappresentat*","Così, così",Chissà,Sistemare la viabilità,Troppa divisione tra gruppi linguistici ,Può essere una valida alleata degli umani,8,2,2,2,Non so,,2,2,2,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,4,5,1,2,Non so,,Donna,51-60,Italia,,Bolzano,"Laurea, Università",Italiano,"Italiano, Tedesco, Inglese",Sposat*,Con partner e figl*,Preferisco non rispondere,Tempo pieno
12/02/2021 11.38.45,Macchine fotografiche e altre attrezzature elettroniche,2,Adoro cucinare,Imploro un aperitivo con gli amici,Cerco di inquadrare le persone prima di espormi,"Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, Scopro che un conoscente non paga le tasse",La re-impennata degli agenti inquinanti,Salsiccia e friarielli,"Certo! Sostengo associazioni, organizzazioni, partiti o simili","Così, così",Si,"Sistemare la viabilità, Eliminare lo spaccio e la delinquenza","Frustrata, viziata, vecchia ",Può essere una valida alleata degli umani,7,"3, 4",2,"1, 3",Non so,,"1, 3, 4","1, 2, 3",1,"1, 2, 3, 4, 5","1, 2, 3, 4, 5",Non so,Non so,Non so,Non so,5,3,4,2,1,2,3,,Donna,21-30,Bolzano,,Bolzano,"Laurea, Università",Italiano,"Italiano, Tedesco, Inglese",Convivente (anche non formalizzato),Preferisco non rispondere,Lavorator*,Part-time
12/02/2021 11.41.10,Articoli per la casa,5,Apro il frigo e improvviso,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,"Rompo il ghiaccio, vado a ruota libera",Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice,La mia situazione,Non mangio pizza,"Mi iscriverei, ma la verità è che non mi sento rappresentat*","Così, così",Chissà,"Riqualificare/rimuovere i monumenti di epoca fascista, Piantare alberi, Sistemare la viabilità, Eliminare lo spaccio e la delinquenza, Rivedere l'assegnazione delle case popolari",Chiuso,Scenari tipo Terminator,6,3,2,2,1,,"3, 4, 5, Non so","2, 3, 4, 5, Non so","3, 4, 5, Non so","1, 3, 4, 5, Non so","2, 3, 4, 5, Non so","2, 3, 4, 5, Non so","3, 4, 5, Non so","2, 3, 4, 5, Non so","3, 4, 5, Non so","1, 2, 3, 4","1, 2, 3, 4","1, 2, 3, 4","1, 2, 3, 4","1, 2, 3, 4","1, 2, 3, 4","1, 2, 3, 4",,Preferisco non rispondere,Preferisco non rispondere,Italia,,Preferisco non rispondere,Preferisco non rispondere,Preferisco non rispondere,Preferisco non rispondere,Preferisco non rispondere,Preferisco non rispondere,Preferisco non rispondere,Preferisco non rispondere
12/02/2021 11.44.26,Articoli per la casa,4,Apro il frigo e improvviso,Mi gusto uno spettacolo dal vivo,Cerco di inquadrare le persone prima di espormi,"Vedo una persona che getta una lattina a terra, Penso che tutte le persone al potere vogliono fare solo i loro interessi","La situazione delle persone a me vicine, Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta",Salsiccia e friarielli,Non sono iscritt* a nulla perché in fondo non mi interessa,Bene,Si,"Riqualificare/rimuovere i monumenti di epoca fascista, Sistemare la viabilità",nascosta,Scenari tipo Terminator,7,"1, 2","2, 3","1, 2",Non so,,Non so,"1, 2, 3, 4, 5",Non so,Non so,Non so,2,Non so,Non so,4,2,Non so,2,2,2,"4, 5",5,,Uomo,51-60,Bolzano,,Bolzano,Istruzione secondaria/completa,Italiano,Italiano,Separat*/Divorziat*,Da sol*,Lavorator*,Tempo pieno
12/02/2021 11.50.13,"Libri, giornali, riviste",7,Adoro cucinare,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Cerco di inquadrare le persone prima di espormi,"Penso che tutte le persone al potere vogliono fare solo i loro interessi, I vicini del piano di sopra fanno rumore incessante per tutta la sera","La mia situazione, La situazione delle persone a me vicine",Non mangio pizza,Non sono iscritt* a nulla perché in fondo non mi interessa,"Così, così",Si,"Piantare alberi, Eliminare lo spaccio e la delinquenza",statica,Può essere una valida alleata degli umani,8,5,1,1,4,,Non so,Non so,Non so,4,4,1,1,3,Non so,1,4,2,"2, 5",2,4,5,,Donna,41-50,Bolzano,,Laives,"Laurea, Università",Italiano,Tedesco,Convivente (anche non formalizzato),Con partner e figl*,Lavorator*,Part-time
12/02/2021 11.52.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/02/2021 12.04.32,"Libri, giornali, riviste",6,Apro il frigo e improvviso,Mi gusto uno spettacolo dal vivo,Aspetto che mi coinvolgano le altre persone,"Vedo una persona che getta una lattina a terra, Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice",La situazione delle persone a me vicine,Vegetariana,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Si,Sistemare la viabilità,,Non credo che possa esistere un'Intelligenza Artificiale,7,"1, 5","1, 5","1, 2, 5","3, 4",,"1, 5","1, 2, 5","1, 5",Non so,Non so,Non so,Non so,"1, 5",4,Non so,"1, 5",2,5,Non so,Non so,Non so,,Donna,41-50,Bolzano,,Bolzano,"Laurea, Università",Preferisco non rispondere,"Italiano, Tedesco, Inglese, francese spagnolo",Single,Preferisco non rispondere,Lavorator*,Part-time
12/02/2021 12.11.02,"Libri, giornali, riviste",7,Adoro cucinare,Mi gusto uno spettacolo dal vivo,Cerco di inquadrare le persone prima di espormi,"Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, Scopro che un conoscente non paga le tasse",Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Marinara,"Mi iscriverei, ma la verità è che non mi sento rappresentat*","Così, così",Si,Sistemare la viabilità,"Divisa, concentrata sull'apparenza, top-down. Con estremo potenziale ma con valori e meccanismi istituzionali troppo conservativi per attuarlo.",È una questione delicata che dobbiamo gestire,8,"1, 5",1,"1, 2, 5","3, 4","Frequento tutta la città per motivi diversi e mi sposto principalmente per svago, attività culturali o attività sportive.
I problemi principali della città dal mio punto di vista sono presenti ovunque indipendentemente dal quartiere, anche se singole zone presentano eccezioni che le rendono più attraenti o piacevoli.
Tranne i parchi del talvera non ci sono luoghi rilassanti a Bolzano secondo me, ciò è dovuto al fatto che ci siano pochissimi spazi inclusivi, aperti e non istituzionalizzati.
La maggior parte della città è urbanizzata e in particolare i quartieri 3 e 4 soffrono di un'architettura e una pianificazione urbana che dal mio punto di vista da più l'impressione di trovarsi in un dormitorio ""per le persone"" che in un ambiente piacevole ""delle persone"".","1, 4, 5",1,"1, 5",2,Non so,"1, 2, 3, 4, 5",Non so,5,"1, 2, 3, 4, 5",Non so,2,Non so,1,5,Non so,Non so,"Ultimamente Bolzano mi rende triste e arrabbiat* soprattutto per la totale mancanza di una scena culturale definibile come bottom-up, non istituzionale, non elitaria, e non legata al consumo. È pieno di associazioni ed eventi pseudo-culturali ma mancano spazi informali sia fisici che simbolici dove ci si possa esprimere liberamente ed in modo casual che non siano esclusivi, limitanti o inaccessibili.",Preferisco non rispondere,21-30,Estero (EU),Germania,Bolzano,Dottorato di ricerca,Italiano,"Italiano, Tedesco, Ladino, Inglese",Preferisco non rispondere,Con più di due coinquilin*,Student*,Tempo pieno
12/02/2021 12.26.47,"Libri, giornali, riviste",7,Per fortuna vivo con altre persone che se ne occupano,Mi gusto uno spettacolo dal vivo,Cerco di inquadrare le persone prima di espormi,"Vedo una persona che getta una lattina a terra, Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice","La situazione delle persone a me vicine, La re-impennata degli agenti inquinanti",Vegetariana,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Chissà,"Piantare alberi, Rivedere l'assegnazione delle case popolari",Corrente alternata,È una questione delicata che dobbiamo gestire,7,1,1,2,5,,Non so,"4, 5",Non so,Non so,Non so,Non so,Non so,Non so,Non so,1,"3, 5","2, 4","1, 3","1, 2","2, 4",5,Si,Donna,60+,Bolzano,,Bolzano,"Master, Università",Italiano,"Italiano, Tedesco",Sposat*,Con partner,Lavorator*,Tempo pieno
